Process ID | Call Type | File Format | Count | Previous File | Current File
________________________________________________________________________________________________________________________
1 | static | dll | 1 | None | chrome_elf.dll
2 | static | dll | 1 | chrome_elf.dll | VERSION.dll
3 | static | dll | 1 | VERSION.dll | KERNEL32.dll
4 | static | dll | 1 | KERNEL32.dll | ntdll.dll
5 | dynamic | pak | 16 | None | C:\Program Files\Google\Chrome\Application\138.0.7204.185\Locales\en-US.pak
6 | dynamic | dll | 16 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\Locales\en-US.pak | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome.dll
7 | dynamic | pak | 16 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome.dll | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome_100_percent.pak
8 | dynamic | pak | 16 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome_100_percent.pak | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome_200_percent.pak
9 | dynamic | dll | 16 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome_200_percent.pak | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome_elf.dll
10 | dynamic | dat | 15 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome_elf.dll | C:\Program Files\Google\Chrome\Application\138.0.7204.185\icudtl.dat
11 | dynamic | pak | 14 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\icudtl.dat | C:\Program Files\Google\Chrome\Application\138.0.7204.185\resources.pak
12 | dynamic | bin | 15 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\resources.pak | C:\Program Files\Google\Chrome\Application\138.0.7204.185\v8_context_snapshot.bin
13 | dynamic | exe | 15 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\v8_context_snapshot.bin | C:\Program Files\Google\Chrome\Application\chrome.exe
14 | dynamic | - | 1 | C:\Program Files\Google\Chrome\Application\chrome.exe | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Cache\Cache_Data\data_0
